"","pmid","from","to"
"14893","27118403","3420739253403379952","9088865850712551161"
"14894","27118403","3420739253403379952","5251233321817222374"
"14908","27129155","2440327587014975898","7052893636395061973"
"14986","27137475","963155521800006415","7665976553575355703"
"14987","27137475","-2531875720891133112","7665976553575355703"
"14988","27137475","4496191920649739347","2277073691551812866"
"15048","27145281","4496191920649739347","-3422479174796088778"
"15049","27145281","-910409836652376082","-3422479174796088778"
"15082","27157619","4496191920649739347","-4209942049145233504"
"15083","27157619","-595680398785564689","-4209942049145233504"
"15084","27157619","4138631179547403938","-6421831433605486762"
"15085","27157619","8171694481960509149","108085853077470225"
"15086","27157619","4496191920649739347","108085853077470225"
"15087","27157619","-4169215600128704571","108085853077470225"
"15090","27159593","375196400634877094","4900126377957793491"
"15091","27159593","375196400634877094","862361114644015943"
"15092","27159593","375196400634877094","443848327819137812"
"15093","27159593","375196400634877094","-8897119537686986438"
"15297","27174491","-8015618763951062393","-6195805560231552846"
"15298","27174491","778593712176295517","-6195805560231552846"
"15414","27211267","5039342224281592929","-800659689219610361"
"15415","27211268","7158737734176060100","-4382916669220838228"
"15416","27211268","-150742751759308095","8402354262327958491"
"15417","27211268","-150742751759308095","-6426247625480517468"
"15418","27211268","-150742751759308095","-7329013516749237851"
"15419","27211268","-150742751759308095","8519529802599800317"
"15420","27211269","-150742751759308095","3303681828928339709"
"15421","27211269","-3801419600830199048","3303681828928339709"
"15422","27211269","-5052347787814934214","-6276606724308715807"
"15423","27211269","-3801419600830199048","-6276606724308715807"
"15424","27211269","-5052347787814934214","3959319250503540706"
"15425","27211269","-3801419600830199048","3959319250503540706"
"15426","27211269","-5052347787814934214","4220995459433137566"
"15427","27211269","-3801419600830199048","4220995459433137566"
"15428","27211269","-5052347787814934214","-7648338950413361994"
"15429","27211269","-3801419600830199048","-7648338950413361994"
"15430","27211269","-5052347787814934214","-7622154273240500336"
"15431","27211269","-3801419600830199048","-7622154273240500336"
"15432","27211269","-5052347787814934214","-2080994550394489034"
"15433","27211269","-3801419600830199048","-2080994550394489034"
"15455","27221729","-1014147375867388215","3493514547331037362"
"15456","27221729","5510460828863833540","3493514547331037362"
"15457","27221729","4632477083328856853","3493514547331037362"
"15458","27221729","5829712284417423553","3493514547331037362"
"15459","27221729","-6669128456047834903","3493514547331037362"
"15460","27221729","-290649908450582724","3493514547331037362"
"15461","27221729","-290649908450582724","1367645691365341118"
"15462","27221729","5510460828863833540","1367645691365341118"
"15463","27221729","5829712284417423553","-1352472139412417435"
